"","Year","Countries","Economic Freedom Summary Index","Rank","Size of Government","Legal System & Property Rights","Sound Money","Freedom to trade internationally","Regulation","GDP per capita","World GDP","USD"
"1",2015,"Argentina",4.88,155,4.87,3.82,6.46,3.73,5.55,13698.2934384857,7.48427e+13,95.85279
"2",2015,"Australia",8,9,6.59,7.99,9.36,7.6,8.46,56561.4123818054,7.48427e+13,95.85279
"3",2015,"Austria",7.65,26,5.09,8.02,9.62,8.12,7.39,44206.7842820834,7.48427e+13,95.85279
"4",2015,"Belgium",7.44,45,3.93,7.25,9.66,8.26,8.1,40361.1541907535,7.48427e+13,95.85279
"5",2015,"Brazil",5.77,136,5.25,4.45,7.97,6.88,4.3,8750.22299607324,7.48427e+13,95.85279
"6",2015,"Canada",7.93,12,5.87,7.85,9.58,7.87,8.5,43525.3701865304,7.48427e+13,95.85279
"7",2015,"Chile",7.79,14,7.91,6.45,9.31,8.21,7.09,13736.6356879313,7.48427e+13,95.85279
"8",2015,"Colombia",6.41,112,6.14,3.79,8.03,6.91,7.17,6044.52555566556,7.48427e+13,95.85279
"9",2015,"Congo, Dem. R.",5.46,147,5.42,2.65,7.99,5.45,5.8,1712.12114632566,7.48427e+13,95.85279
"10",2015,"Denmark",7.74,17,4.07,8.25,9.61,8.42,8.35,53012.9965835008,7.48427e+13,95.85279
"11",2015,"Ecuador",5.91,129,5.33,3.89,8.1,6.53,5.7,6150.15595531519,7.48427e+13,95.85279
"12",2015,"Finland",7.73,18,4.23,8.88,9.6,8.24,7.68,42424.2208075022,7.48427e+13,95.85279
"13",2015,"France",7.35,52,4.2,7.07,9.77,8.25,7.49,36613.3752159613,7.48427e+13,95.85279
"14",2015,"Germany",7.68,24,5.54,7.45,9.65,7.92,7.85,41323.921502169,7.48427e+13,95.85279
"15",2015,"Greece",6.36,116,3.42,5.98,8.35,7.64,6.4,18070.7767788584,7.48427e+13,95.85279
"16",2015,"Guatemala",7.69,23,9.49,4.48,9.63,8.22,6.65,3923.57334364713,7.48427e+13,95.85279
"17",2015,"Hong Kong",8.95,1,8.55,8.08,9.51,9.23,9.41,2341.27532008595,7.48427e+13,95.85279
"18",2015,"Iceland",7.19,64,5.17,8.45,7.17,7.15,8.03,51213.6613332843,7.48427e+13,95.85279
"19",2015,"India",6.61,99,7.82,5.1,8.1,5.56,6.46,1606.0382849889,7.48427e+13,95.85279
"20",2015,"Indonesia",6.98,74,7.7,4.52,9.36,6.99,6.34,3334.54907484848,7.48427e+13,95.85279
"21",2015,"Iran",5.3,150,5.29,4.54,7.08,4.53,5.07,4974.0269301667,7.48427e+13,95.85279
"22",2015,"Ireland",8.18,5,6,8,9.53,8.76,8.62,61807.6703737555,7.48427e+13,95.85279
"23",2015,"Israel",7.48,39,6.3,6.13,9.49,8.11,7.38,35690.9630779526,7.48427e+13,95.85279
"24",2015,"Italy",7.31,54,5.41,5.66,9.74,8.26,7.47,30180.3215146877,7.48427e+13,95.85279
"25",2015,"Japan",7.49,37,4.71,7.6,9.63,7.43,8.07,34567.7456750995,7.48427e+13,95.85279
"26",2015,"Kenya",7.11,70,7.79,4.75,9.1,6.63,7.3,1355.04578833975,7.48427e+13,95.85279
"27",2015,"Korea, South",7.55,32,6.9,6.45,9.66,7.55,7.21,29109.0687433547,7.48427e+13,95.85279
"28",2015,"Luxembourg",7.64,27,4.17,8.36,9.46,8.3,7.9,101446.786303182,7.48427e+13,95.85279
"29",2015,"Malaysia",7.17,66,6.93,5.76,7.01,7.51,8.65,9648.55345515912,7.48427e+13,95.85279
"30",2015,"Mexico",6.96,76,7.81,4.22,8.14,7.52,7.12,9290.76062857618,7.48427e+13,95.85279
"31",2015,"Morocco",6.31,119,5.68,5.57,7.29,6.84,6.14,2864.09291462974,7.48427e+13,95.85279
"32",2015,"Netherlands",7.73,18,3.89,8.21,9.75,8.61,8.19,44746.3340485236,7.48427e+13,95.85279
"33",2015,"New Zealand",8.48,3,6.46,8.74,9.51,8.57,9.11,38649.3784975761,7.48427e+13,95.85279
"34",2015,"Nigeria",6.37,115,7.08,3.61,7.94,5.93,7.31,2655.15797711367,7.48427e+13,95.85279
"35",2015,"Norway",7.67,25,4.56,8.83,9.51,7.65,7.79,74498.13763927,7.48427e+13,95.85279
"36",2015,"Pakistan",5.92,127,7.86,3.3,6.38,5.77,6.28,1428.63762767431,7.48427e+13,95.85279
"37",2015,"Peru",7.47,41,7.22,4.8,9.56,8.23,7.53,6053.11241492924,7.48427e+13,95.85279
"38",2015,"Philippines",7.47,41,8.73,4.43,9.44,7.31,7.44,2878.33837046989,7.48427e+13,95.85279
"39",2015,"Portugal",7.54,33,5.61,6.95,9.68,8.42,7.06,19252.6349536042,7.48427e+13,95.85279
"40",2015,"Singapore",8.8,2,7.78,8.29,9.84,9.25,8.82,54940.8581377449,7.48427e+13,95.85279
"41",2015,"South Africa",6.64,95,5.1,5.76,8.07,6.87,7.4,5746.68112702961,7.48427e+13,95.85279
"42",2015,"Spain",7.52,35,5.68,6.8,9.76,8.01,7.34,25789.5195481476,7.48427e+13,95.85279
"43",2015,"Sweden",7.64,27,3.64,8.35,9.71,8.28,8.24,50812.1908597713,7.48427e+13,95.85279
"44",2015,"Switzerland",8.42,4,7.68,8.58,9.81,7.54,8.49,82016.0213129432,7.48427e+13,95.85279
"45",2015,"Syria",5.22,153,6.2,4.36,4.87,4.91,5.75,NA,7.48427e+13,95.85279
"46",2015,"Tanzania",6.92,77,7.31,5.68,8.06,6.28,7.27,872.295494924971,7.48427e+13,95.85279
"47",2015,"Thailand",6.74,89,6.63,4.77,8.45,6.78,7.07,5846.39460806913,7.48427e+13,95.85279
"48",2015,"Tunisia",6.33,117,6.1,5.28,7.06,6.81,6.41,3828.10063289426,7.48427e+13,95.85279
"49",2015,"Turkey",6.83,81,6.62,4.74,9.08,7.24,6.49,10984.8052020041,7.48427e+13,95.85279
"50",2015,"United Kingdom",8.04,6,5.75,7.92,9.84,8.42,8.25,44305.5546320834,7.48427e+13,95.85279
"51",2015,"United States",7.93,12,6.43,7.23,9.76,7.54,8.71,56443.8172422582,7.48427e+13,95.85279
"52",2015,"Venezuela",2.96,159,4.94,2.05,1.94,3.32,2.56,NA,7.48427e+13,95.85279
"53",2010,"Argentina",5.59,138,5.81,4.23,6.59,6.13,5.21,10276.2604977053,6.59567e+13,83.33632
"54",2010,"Australia",8.02,5,6.67,8.09,9.47,7.52,8.37,51936.8887116461,6.59567e+13,83.33632
"55",2010,"Austria",7.62,19,4.9,8.08,9.64,7.91,7.58,46858.0432733717,6.59567e+13,83.33632
"56",2010,"Belgium",7.39,35,3.99,6.94,9.69,8.19,8.12,44380.1766327308,6.59567e+13,83.33632
"57",2010,"Brazil",6.46,104,6.99,5.06,7.97,7.15,5.15,11224.1540829355,6.59567e+13,83.33632
"58",2010,"Canada",8.01,6,5.92,8.16,9.46,7.84,8.7,47447.4760241936,6.59567e+13,83.33632
"59",2010,"Chile",7.89,8,7.91,6.8,8.94,8.25,7.55,12860.1776447469,6.59567e+13,83.33632
"60",2010,"Colombia",6.54,98,6.16,4.28,8.2,6.94,7.13,6250.65504429614,6.59567e+13,83.33632
"61",2010,"Congo, Dem. R.",5.29,145,5.33,2.59,7.89,5.17,5.48,2737.34233022991,6.59567e+13,83.33632
"62",2010,"Denmark",7.77,13,3.73,8.67,9.6,8.38,8.47,58041.4112245601,6.59567e+13,83.33632
"63",2010,"Ecuador",5.77,134,5.63,3.75,6.38,6.87,6.24,4657.3023611471,6.59567e+13,83.33632
"64",2010,"Finland",7.79,12,4.48,8.85,9.62,8.13,7.88,46202.4151628454,6.59567e+13,83.33632
"65",2010,"France",7.42,34,4.66,7.3,9.67,8.09,7.4,40638.33400426,6.59567e+13,83.33632
"66",2010,"Germany",7.59,20,5.46,7.97,9.59,7.89,7.02,41785.556912554,6.59567e+13,83.33632
"67",2010,"Greece",6.81,81,5.72,5.51,9.67,7.57,5.59,26917.7589787254,6.59567e+13,83.33632
