DATE,TWEXBANL_NBD20170101
1973-01-01,25.96016
1974-01-01,26.67834
1975-01-01,27.57470
1976-01-01,29.33466
1977-01-01,30.19457
1978-01-01,28.73504
1979-01-01,28.95194
1980-01-01,29.76658
1981-01-01,33.03406
1982-01-01,38.34783
1983-01-01,43.23877
1984-01-01,49.21914
1985-01-01,54.98793
1986-01-01,51.05197
1987-01-01,49.47674
1988-01-01,49.88369
1989-01-01,54.78232
1990-01-01,58.47124
1991-01-01,60.87692
1992-01-01,62.97857
1993-01-01,68.60316
1994-01-01,74.40871
1995-01-01,75.86538
1996-01-01,79.79913
1997-01-01,85.50814
1998-01-01,94.89077
1999-01-01,95.10939
2000-01-01,97.87067
2001-01-01,103.19878
2002-01-01,103.80265
2003-01-01,97.61537
2004-01-01,93.10911
2005-01-01,90.71604
2006-01-01,88.97484
2007-01-01,84.77146
2008-01-01,81.73014
2009-01-01,86.45633
2010-01-01,83.33632
2011-01-01,79.51181
2012-01-01,81.69951
2013-01-01,82.62002
2014-01-01,85.18135
2015-01-01,95.85279
2016-01-01,100.28421
2017-01-01,100.00000
